run dir   /home/theo/cadex-jobs/stand-task-20260802-200109
task      /home/theo/cadex-jobs/stand-task-20260802-200109/stand-task.json
          sha256 21fe4171a5499258379e20e04a091fd33c8e1a04b5f2d19acb27264140a7f235
model     /home/theo/cadex-jobs/stand-task-20260802-200109/model-model.xml
          sha256 e3511559eeb3d5ab3a369852a6c7d7e5fcfc256a259f1f4f41284ffb2cef0ae1  (matches the bundle's own)
seeds     12  (0…11)   budget 600 steps
motors    10 × ±86 N·mm
wall      5.8 s

same-file-twice (ADR-103 §9)  stand8.best.cxpolicy  24 episodes, one worker
  PASS — the evaluator reloads the model per episode and its rows do not drift.

survival, and what it cost   (trainer r/s is what the trainer recorded; every other column is measured here)
  checkpoint                 iter    surv  steps µ   med    tilt    drift    reward  train r/s  termination mix
  stand8.000050.cxpolicy       49   0/12      21.7    20   0.166     53.2      -9.0    -0.5822  tipped:12
  stand8.000100.cxpolicy       99   1/12     172.5   118   0.149     83.8      48.2    -0.1027  survived:1 tipped:11
  stand8.000150.cxpolicy      149   1/12     169.4   116   0.152     73.0      72.7    +0.1760  survived:1 tipped:11
  stand8.000200.cxpolicy      199   1/12     172.2   116   0.154     75.2      69.8    +0.2279  survived:1 tipped:11
  stand8.000250.cxpolicy      249   2/12     194.2   114   0.138     75.2      83.7    +0.2370  survived:2 tipped:10
  stand8.000300.cxpolicy      299   2/12     192.8   114   0.144     74.0      84.9    +0.2811  survived:2 tipped:10
  stand8.000350.cxpolicy      349   2/12     192.2   112   0.136     70.0      91.9    +0.2679  survived:2 tipped:10
  stand8.000400.cxpolicy      399   2/12     192.7   114   0.143     69.0      91.4    +0.3095  survived:2 tipped:10
  stand8.000450.cxpolicy      449   2/12     192.2   112   0.143     67.7      92.5    +0.3267  survived:2 tipped:10
  stand8.000500.cxpolicy      499   2/12     191.7   112   0.132     66.9      87.7    +0.3061  survived:2 tipped:10
  stand8.000550.cxpolicy      549   2/12     191.2   110   0.135     65.1      84.4    +0.3183  survived:2 tipped:10
  stand8.best.cxpolicy        598   2/12     190.6   110   0.138     67.8      82.6    +0.3373  survived:2 tipped:10
  stand8.000600.cxpolicy      599   2/12     190.8   110   0.140     68.3      82.5    +0.3290  survived:2 tipped:10
  stand8.000650.cxpolicy      649   1/12     167.8   110   0.150     73.4      56.0    +0.2996  survived:1 tipped:11
  stand8.000700.cxpolicy      699   1/12     165.8   108   0.146     71.5      51.0    +0.2453  survived:1 tipped:11
  stand8.000750.cxpolicy      749   1/12     165.8   109   0.151     75.3      48.7    +0.2347  survived:1 tipped:11
  stand8.000800.cxpolicy      799   1/12     168.2   120   0.150     74.4      40.6    +0.2077  survived:1 tipped:11
  stand8.000850.cxpolicy      849   1/12     164.4   107   0.148     76.2      38.8    +0.1997  survived:1 tipped:11
  stand8.000900.cxpolicy      899   1/12     152.7   100   0.152     77.3      30.0    +0.1963  survived:1 tipped:11
  stand8.000950.cxpolicy      949   1/12     152.7    99   0.146     78.3      30.8    +0.1802  survived:1 tipped:11
  stand8.001000.cxpolicy      999   1/12     165.5   108   0.148     73.6      39.5    +0.1735  survived:1 tipped:11
