checkpoint,iteration,role,episodes,survived,survival,steps_mean,steps_median,steps_min,steps_max,max_steps,final_tipped_mean,drift_mean,reward_mean,reward_per_step_mean,trainer_reward_per_step,term_survived,term_tipped,term_collapsed,peak_frac_of_limit,mean_frac_of_limit,saturation_worst,flags,peak_nmm[hip_roll_l],peak_nmm[hip_roll_r],peak_nmm[hip_pitch_l],peak_nmm[hip_pitch_r],peak_nmm[knee_l],peak_nmm[knee_r],peak_nmm[ankle_l],peak_nmm[ankle_r],peak_nmm[ankle_roll_l],peak_nmm[ankle_roll_r],mean_nmm[hip_roll_l],mean_nmm[hip_roll_r],mean_nmm[hip_pitch_l],mean_nmm[hip_pitch_r],mean_nmm[knee_l],mean_nmm[knee_r],mean_nmm[ankle_l],mean_nmm[ankle_r],mean_nmm[ankle_roll_l],mean_nmm[ankle_roll_r],above90pct[hip_roll_l],above90pct[hip_roll_r],above90pct[hip_pitch_l],above90pct[hip_pitch_r],above90pct[knee_l],above90pct[knee_r],above90pct[ankle_l],above90pct[ankle_r],above90pct[ankle_roll_l],above90pct[ankle_roll_r]
stand9.000100.cxpolicy,99,checkpoint,48,4,0.0833,159.04,96.5,16,600,600,0.14627,64.988,53.276,-0.05238,0.0007921330980025232,4,44,0,0.8912,0.2679,0.0,,76.458,72.711,35.894,34.173,36.34,36.034,74.137,76.639,63.958,64.044,23.039,22.796,6.435,6.097,18.698,11.903,17.77,18.441,18.452,21.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stand9.000200.cxpolicy,199,checkpoint,48,9,0.1875,208.23,115.5,14,600,600,0.13704,64.922,94.023,0.04727,0.2166306972503662,9,39,0,0.9635,0.2777,0.02217,,81.089,79.247,70.418,65.544,49.625,52.397,82.256,82.859,75.523,69.634,23.087,23.88,12.07,10.92,18.193,18.325,18.371,18.078,13.124,14.497,0.00069,0.00038,0.0,0.0,0.0,0.0,0.02164,0.02217,0.0,0.0
stand9.000300.cxpolicy,299,checkpoint,48,12,0.25,224.67,98.5,15,600,600,0.12589,61.858,111.408,0.1101,0.2846166789531708,12,36,0,0.9824,0.2662,0.03757,,78.876,81.531,76.036,68.075,63.645,52.597,83.967,84.484,75.493,72.859,22.892,22.861,12.966,11.828,17.353,10.742,20.222,20.351,15.843,16.156,0.00045,0.00529,0.0,0.0,0.0,0.0,0.03757,0.03269,0.0,0.0
stand9.000400.cxpolicy,399,checkpoint,48,14,0.2917,254.21,132.5,18,600,600,0.12103,62.737,121.838,0.17002,0.3069985806941986,14,34,0,0.9931,0.3017,0.04198,,79.612,82.908,76.328,74.564,67.933,58.055,85.25,85.404,69.977,70.86,24.93,25.947,15.429,12.729,16.107,10.569,21.543,21.388,14.796,14.812,0.00037,0.01662,0.0,0.0,0.0,0.0,0.04198,0.04053,0.0,0.0
stand9.000500.cxpolicy,499,checkpoint,48,15,0.3125,265.9,132.0,21,600,600,0.11326,62.965,116.613,0.15472,0.31211772561073303,15,33,0,0.9962,0.3219,0.04755,,81.394,83.323,73.583,71.1,66.317,61.685,85.57,85.67,68.298,66.102,24.612,27.682,21.756,13.666,19.866,14.98,25.698,23.394,14.513,15.071,0.00057,0.03077,0.0,0.0,0.0,0.0,0.04509,0.04755,0.0,0.0
stand9.best.cxpolicy,594,best,48,16,0.3333,269.9,131.0,24,600,600,0.10921,61.522,129.405,0.16355,0.3327437937259674,16,32,0,0.9979,0.3431,0.06898,,83.992,84.612,74.534,68.749,63.048,64.307,85.758,85.817,68.383,64.118,24.864,28.873,17.938,13.763,17.882,17.958,29.504,26.948,15.675,15.38,0.01294,0.06455,0.0,0.0,0.0,0.0,0.05303,0.06898,0.0,0.0
stand9.000600.cxpolicy,599,checkpoint,48,16,0.3333,270.4,132.5,24,600,600,0.11294,62.38,129.38,0.15882,0.3184082508087158,16,32,0,0.998,0.3541,0.06803,,83.838,84.427,71.21,68.53,62.059,65.479,85.755,85.829,68.774,63.488,23.644,28.122,16.291,13.826,16.903,18.033,30.455,28.264,15.432,15.332,0.00936,0.05912,0.0,0.0,0.0,0.0,0.05055,0.06803,0.0,0.0
stand9.000700.cxpolicy,699,checkpoint,48,17,0.3542,282.73,133.0,23,600,600,0.1081,66.543,134.286,0.16543,0.30997762084007263,17,31,0,0.9982,0.463,0.06915,,85.145,85.156,75.176,71.192,75.453,72.225,85.742,85.846,67.203,67.201,26.03,28.577,37.636,25.898,39.819,19.931,25.44,24.62,14.41,14.764,0.03695,0.06915,0.0,0.0,0.0,0.0,0.05632,0.06387,0.0,0.0
stand9.000800.cxpolicy,799,checkpoint,48,16,0.3333,270.94,134.0,21,600,600,0.11424,68.139,112.545,0.10083,0.29290539026260376,16,32,0,0.9992,0.5795,0.07812,hazard 15: a motor's MEAN command is 58% of its limit,85.448,85.707,75.533,67.49,82.025,80.878,85.737,85.929,75.257,60.802,33.143,34.29,39.791,30.791,49.833,33.089,27.852,29.937,19.065,14.906,0.04172,0.06769,0.0,0.0,0.04173,0.00379,0.05652,0.07812,0.0,0.0
stand9.000900.cxpolicy,899,checkpoint,48,16,0.3333,271.31,131.5,20,600,600,0.10961,78.362,96.714,0.05288,0.29360082745552063,16,32,0,0.9996,0.658,0.16728,hazard 15: a motor's MEAN command is 66% of its limit,85.747,85.841,78.234,76.824,84.264,84.164,85.765,85.967,78.82,64.079,36.909,34.253,42.888,34.025,56.591,38.028,35.705,40.8,20.724,19.029,0.06462,0.08438,3e-05,0.0,0.16728,0.02122,0.07246,0.13362,3e-05,0.0
